"IDX","CNT_TYPE","PAT_CNT","ENC_CNT"
1,"Initial",180845,463267
2,"Suspected Infection",33724,56870
3,"Alert-2 SIRS",16942,24216
4,"Alert-2 SIRS, No Organ Dysfunction",3794,4221
5,"Alert-1st Organ Dysfunction",25312,41880
6,"Alert-1st Organ Dysfunction, No SIRS",7047,8929
7,"Alert-1st Organ Dysfunction, No 2 SIRS",15129,21885
8,"Alert-1st Organ Dysfunction, 2 SIRS - Sepsis",14252,19995
9,"OD:AC",2478,2852
9,"OD:AC+OD:AMS",19,19
9,"OD:AC+OD:AMS+OD:Hypotension+OD:IL+OD:KF",1,1
9,"OD:AC+OD:AMS+OD:Hypotension+OD:LF",1,1
9,"OD:AC+OD:AMS+OD:Hypoxemia",2,2
9,"OD:AC+OD:AMS+OD:IL",1,1
9,"OD:AC+OD:AMS+OD:IL+OD:LF",1,1
9,"OD:AC+OD:AMS+OD:KF",2,2
9,"OD:AC+OD:Hypotension",19,19
9,"OD:AC+OD:Hypotension+OD:Hypoxemia",1,1
9,"OD:AC+OD:Hypotension+OD:IL",4,4
9,"OD:AC+OD:Hypotension+OD:IL+OD:KF",2,2
9,"OD:AC+OD:Hypotension+OD:IL+OD:LF",1,1
9,"OD:AC+OD:Hypotension+OD:KF",1,1
9,"OD:AC+OD:Hypotension+OD:LF",1,1
9,"OD:AC+OD:Hypoxemia",4,4
9,"OD:AC+OD:Hypoxemia+OD:IL",3,3
9,"OD:AC+OD:Hypoxemia+OD:KF",1,1
9,"OD:AC+OD:IL",306,317
9,"OD:AC+OD:IL+OD:KF",17,18
9,"OD:AC+OD:IL+OD:KF+OD:LF",5,5
9,"OD:AC+OD:IL+OD:LF",60,62
9,"OD:AC+OD:KF",100,108
9,"OD:AC+OD:KF+OD:LF",10,10
9,"OD:AC+OD:LF",190,205
9,"OD:AMS",2450,2731
9,"OD:AMS+OD:Hypotension",53,54
9,"OD:AMS+OD:Hypotension+OD:Hypoxemia",1,1
9,"OD:AMS+OD:Hypoxemia",21,21
9,"OD:AMS+OD:IL",10,10
9,"OD:AMS+OD:IL+OD:KF",1,1
9,"OD:AMS+OD:KF",2,2
9,"OD:AMS+OD:LF",1,1
9,"OD:Hypotension",5859,6911
9,"OD:Hypotension+OD:Hypoxemia",262,266
9,"OD:Hypotension+OD:Hypoxemia+OD:IL",1,1
9,"OD:Hypotension+OD:IL",16,16
9,"OD:Hypotension+OD:KF",4,4
9,"OD:Hypoxemia",2531,3004
9,"OD:Hypoxemia+OD:IL",41,41
9,"OD:Hypoxemia+OD:KF",3,3
9,"OD:IL",2210,2439
9,"OD:IL+OD:KF",51,51
9,"OD:IL+OD:KF+OD:LF",3,3
9,"OD:IL+OD:LF",24,24
9,"OD:KF",409,532
9,"OD:KF+OD:LF",11,11
9,"OD:LF",201,227
10,"Sepsis",14252,19995
11,"Sepsis - Hypotensive",10770,14263
12,"Sepsis - Non-Hypotensive",4843,5732
13,"Initial Lactate - Non-Sepsis",10880,14189
14,"Initial Lactate - Sepsis",10549,14051
15,"Initial Lactate - Hypotensive-Sepsis",8146,10354
16,"Initial Lactate - NonHypotensive-Sepsis",3222,3697
17,"Sepsis before Culture",2499,2665
18,"Hypotensive-Sepsis before Culture",1821,1915
19,"NonHypotensive-Sepsis before Culture",730,750
20,"Sepsis before Lactate",3736,4234
21,"Hypotensive-Sepsis before Lactate",2994,3332
22,"NonHypotensive-Sepsis before Lactate",858,902
23,"Sepsis before Diagnostic Component",1298,1347
24,"Hypotensive-Sepsis before Diagnostic Components",916,943
25,"NonHypotensive-Sepsis before Diagnostic Components",396,404
26,"IV triggered - Non-Sepsis",10805,14670
27,"IV initiated - Non-Sepsis",9636,12787
28,"IV completed - Non-Sepsis",7533,9402
29,"IV triggered - Sepsis",10770,14263
30,"IV initiated - Sepsis",10284,13472
31,"IV completed - Sepsis",8866,11194
32,"Sepsis before IV triggered",3441,3962
33,"Sepsis before IV initiated",6490,8038
34,"Sepsis before IV completed",6960,8551
35,"Sepsis before Antibiotics",10145,13390
36,"Hypotensive-Sepsis before Antibiotics",7728,9724
37,"NonHypotensive-Sepsis before Antibiotics",3200,3666
38,"Sepsis before Therapautic Components",9200,11952
39,"Hypotensive-Sepsis before Therapautic Components",6716,8286
40,"NonHypotensive-Sepsis before Therapautic Components",3200,3666
41,"Repeat Lactate",5148,5939
42,"Remain Hypotensive",7292,9110
43,"Vasopressor initiated",2773,3055
44,"Cardiac events",652,676
